"","RawName","CorrectedGenus","CorrectedSpecies"
"6386","Cryptocarya hornei","Cryptocarya","hornei"
"6387","Cryptocarya hypoglauca","Cryptocarya","hypoglauca"
"6388","Cryptocarya hypospodia","Cryptocarya","hypospodia"
"6389","Cryptocarya infectoria","Cryptocarya","infectoria"
"6390","Cryptocarya kunstleri","Cryptocarya",NA
"6391","Cryptocarya lenticellata","Cryptocarya","lenticellata"
"6392","Cryptocarya longifolia","Cryptocarya","longifolia"
"6393","Cryptocarya louvelii","Cryptocarya","louvelii"
"6394","Cryptocarya lucida","Cryptocarya","lucida"
"6395","Cryptocarya macdonaldii","Cryptocarya","macdonaldii"
"6396","Cryptocarya mackinonium","Cryptocarya",NA
"6397","Cryptocarya macrodesme","Cryptocarya","macrodesme"
"6398","Cryptocarya mandioccana","Cryptocarya","mandioccana"
"6399","Cryptocarya medicinalis","Cryptocarya","medicinalis"
"6400","Cryptocarya meisneriana","Cryptocarya","meisneriana"
"6401","Cryptocarya microneura","Cryptocarya","microneura"
"6402","Cryptocarya myristac","Cryptocarya",NA
"6403","Cryptocarya odorata","Cryptocarya","odorata"
"6404","Cryptocarya oubatchensis","Cryptocarya","oubatchensis"
"6405","Cryptocarya ovalifolia","Cryptocarya","ovalifolia"
"6406","Cryptocarya parinarioides","Cryptocarya","parinarioides"
"6407","Cryptocarya pluricostata","Cryptocarya","pluricostata"
"6408","Cryptocarya riedeliana","Cryptocarya","riedeliana"
"6409","Cryptocarya rigida","Cryptocarya","rigida"
"6410","Cryptocarya rigidifolia","Cryptocarya","rigidifolia"
"6411","Cryptocarya rugulosa","Cryptocarya","rugulosa"
"6412","Cryptocarya saligna","Cryptocarya","saligna"
"6413","Cryptocarya scortechinii","Cryptocarya","scortechinii"
"6414","Cryptocarya sppBRi1","Cryptocarya",NA
"6415","Cryptocarya sppBaitete1","Cryptocarya",NA
"6416","Cryptocarya sppCamorin1","Cryptocarya",NA
"6417","Cryptocarya sppCamorin2","Cryptocarya",NA
"6418","Cryptocarya sppCuevas1","Cryptocarya",NA
"6419","Cryptocarya sppDavies1","Cryptocarya",NA
"6420","Cryptocarya sppGentry1","Cryptocarya",NA
"6421","Cryptocarya sppNC1","Cryptocarya",NA
"6422","Cryptocarya sppNC2","Cryptocarya",NA
"6423","Cryptocarya sppNC3","Cryptocarya",NA
"6424","Cryptocarya sppNC4","Cryptocarya",NA
"6425","Cryptocarya sppNewcaldo1","Cryptocarya",NA
"6426","Cryptocarya sppNosymang1","Cryptocarya",NA
"6427","Cryptocarya sppNosymang2","Cryptocarya",NA
"6428","Cryptocarya sppPacific1","Cryptocarya",NA
"6429","Cryptocarya sppPacific2","Cryptocarya",NA
"6430","Cryptocarya sppPacific3","Cryptocarya",NA
"6431","Cryptocarya sppPacific4","Cryptocarya",NA
"6432","Cryptocarya sppPacific5","Cryptocarya",NA
"6433","Cryptocarya sppPerinet1","Cryptocarya",NA
"6434","Cryptocarya sppRAINFOR1","Cryptocarya",NA
"6435","Cryptocarya sppSCA1","Cryptocarya",NA
"6436","Cryptocarya sppTEAM1","Cryptocarya",NA
"6437","Cryptocarya sppTEAM2","Cryptocarya",NA
"6438","Cryptocarya sppTEAM3","Cryptocarya",NA
"6439","Cryptocarya sppTEAM4","Cryptocarya",NA
"6440","Cryptocarya sppVarirata1","Cryptocarya",NA
"6441","Cryptocarya sppVarirata2","Cryptocarya",NA
"6442","Cryptocarya sppVarirata3","Cryptocarya",NA
"6443","Cryptocarya sppVarirata4","Cryptocarya",NA
"6444","Cryptocarya sppVarirata5","Cryptocarya",NA
"6445","Cryptocarya sppVarirata6","Cryptocarya",NA
"6446","Cryptocarya sppVarirata7","Cryptocarya",NA
"6447","Cryptocarya sppVarirata8","Cryptocarya",NA
"6448","Cryptocarya thouvenotii","Cryptocarya","thouvenotii"
"6449","Cryptocarya transversa","Cryptocarya","transversa"
"6450","Cryptocarya turbinata","Cryptocarya","turbinata"
"6451","Cryptocarya velutinosa","Cryptocarya","velutinosa"
"6452","Cryptocarya vidalii","Cryptocarya","vidalii"
"6453","Cryptomeria japonica","Cryptomeria","japonica"
"6454","Cryptomeria sppUS1","Cryptomeria",NA
"6455","Cryptosepalum congolanum","Cryptosepalum","congolanum"
"6456","Cryptosepalum sppGA1","Cryptosepalum",NA
"6457","Cryptosepalum sppSL1","Cryptosepalum",NA
"6458","Cryptosepalum tetraphyllum","Cryptosepalum","tetraphyllum"
"6459","Crysophila sppOsasiren1","Cryosophila",NA
"6460","Ctenolophon englerianus","Ctenolophon","englerianus"
"6461","Ctenolophon parvifolius","Ctenolophon","parvifolius"
"6462","Ctenolophon sppBanyong1","Ctenolophon",NA
"6463","Cudrania cochinchinensis","Cudrania","cochinchinensis"
"6464","Cudrania tricuspidata","Cudrania","tricuspidata"
"6465","Cuervea kappleriana","Cuervea","kappleriana"
"6466","Cunninghamia lanceolata","Cunninghamia","lanceolata"
"6467","Cunonia aoupiniensis","Cunonia","aoupiniensis"
"6468","Cunonia austrocaledonica","Cunonia","austrocaledonica"
"6469","Cunonia balansae","Cunonia","balansae"
"6470","Cunonia linearisepala","Cunonia","linearisepala"
"6471","Cunonia pulchella","Cunonia","pulchella"
"6472","Cunonia sppNewcaldo1","No","suitable"
"6473","Cupania americana","Cupania","americana"
"6474","Cupania cinerea","Cupania","cinerea"
"6475","Cupania costaricensis","Cupania","costaricensis"
"6476","Cupania dentata","Cupania","dentata"
"6477","Cupania diphylla","Cupania","diphylla"
"6478","Cupania emarginata","Cupania","emarginata"
"6479","Cupania frutescens","Cupania","frutescens"
"6480","Cupania fulvida","Cupania","fulvida"
"6481","Cupania furfuracea","Cupania","furfuracea"
"6482","Cupania glabra","Cupania","glabra"
"6483","Cupania guatemalensis","Cupania","guatemalensis"
"6484","Cupania hirsuta","Cupania","hirsuta"
"6485","Cupania hispida","Cupania","hispida"
"6486","Cupania impressinervia","Cupania","impressinervia"
"6487","Cupania latifolia","Cupania","latifolia"
"6488","Cupania livida","Cupania","livida"
"6489","Cupania macrophylla","Cupania","macrophylla"
"6490","Cupania macrostylis","Cupania",NA
"6491","Cupania oblongifolia","Cupania","oblongifolia"
"6492","Cupania pseudostipularis","Cupania","pseudostipularis"
"6493","Cupania racemosa","Cupania","racemosa"
"6494","Cupania riopalenquensis","Cupania","riopalenquensis"
"6495","Cupania rubiginosa","Cupania","rubiginosa"
"6496","Cupania rufescens","Cupania","rufescens"
"6497","Cupania rugosa","Cupania","rugosa"
"6498","Cupania scrobiculata","Cupania","scrobiculata"
"6499","Cupania seemannii","No","suitable"
"6500","Cupania sppAlterdoc1","Cupania",NA
"6501","Cupania sppAltodemi1","Cupania",NA
"6502","Cupania sppAntado1","Cupania",NA
"6503","Cupania sppAraracua1","Cupania",NA
"6504","Cupania sppBOi1","Cupania",NA
"6505","Cupania sppBRii1","Cupania",NA
"6506","Cupania sppCR1","Cupania",NA
"6507","Cupania sppCampano1","Cupania",NA
"6508","Cupania sppCarajas1","Cupania",NA
"6509","Cupania sppCerroelp1","Cupania",NA
"6510","Cupania sppChirinos1","Cupania",NA
"6511","Cupania sppEncanto1","Cupania",NA
"6512","Cupania sppFPnet1","Cupania",NA
"6513","Cupania sppGF1","No","suitable"
"6514","Cupania sppGentry1","Cupania",NA
"6515","Cupania sppJejuimi1","Cupania",NA
"6516","Cupania sppLagenoa1","Cupania",NA
"6517","Cupania sppMariquit1","Cupania",NA
"6518","Cupania sppPE1","Cupania",NA
"6519","Cupania sppRAINFOR1","Cupania",NA
"6520","Cupania sppRionegro1","Cupania",NA
"6521","Cupania sppSCA1","Cupania",NA
"6522","Cupania sppTEAM1","Cupania",NA
"6523","Cupania sppTEAM2","Cupania",NA
"6524","Cupania sppTEAM3","Cupania",NA
"6525","Cupania sylvatica","Cupania","sylvatica"
"6526","Cupania triquetra","Cupania","triquetra"
"6527","Cupania vernalis","Cupania","vernalis"
"6528","Cupaniopsis apiocarpa","Cupaniopsis","apiocarpa"
"6529","Cupaniopsis concolor","Cupaniopsis","concolor"
"6530","Cupaniopsis leptobotrys","Cupaniopsis","leptobotrys"
"6531","Cupaniopsis macrocarpa","Cupaniopsis","macrocarpa"
"6532","Cupaniopsis myrmoctona","Cupaniopsis","myrmoctona"
"6533","Cupaniopsis oedipoda","Cupaniopsis","oedipoda"
"6534","Cupaniopsis petiolulata","Cupaniopsis","petiolulata"
"6535","Cupaniopsis phalacrocarpa","Cupaniopsis","phalacrocarpa"
"6536","Cupaniopsis sppNewcaldo1","Cupaniopsis",NA
"6537","Cupaniopsis sylvatica","Cupaniopsis","sylvatica"
"6538","Cupaniopsis trigonocarpa","Cupaniopsis","trigonocarpa"
"6539","Cupressaceae sppDK1","Cupressaceae",NA
"6540","Cupressus arizonica","Cupressus","arizonica"
"6541","Cupressus bakeri","Cupressus","bakeri"
"6542","Cupressus lusitanica","Cupressus","lusitanica"
"6543","Cupressus macrocarpa","Cupressus","macrocarpa"
"6544","Cupressus sargentii","Cupressus","sargentii"
"6545","Cupressus sempervirens","Cupressus","sempervirens"
"6546","Cupressus sppBRii1","Cupressus",NA
"6547","Cupressus sppIT1","Cupressus",NA
"6548","Cupressus sppMX1","Cupressus",NA
"6549","Cupressus sppPT1","Cupressus",NA
"6550","Cupressus sppUS1","Cupressus",NA
"6551","Curarea sppSCA1","Curarea",NA
"6552","Curarea toxicofera","Curarea","toxicofera"
"6553","Curatella americana","Curatella","americana"
"6554","Curcuma longa","Curcuma","longa"
"6555","Curitiba prismatica","Curitiba","prismatica"
"6556","Cuspidaria floribunda","Cuspidaria","floribunda"
"6557","Cuspidaria lateriflora","Cuspidaria","lateriflora"
"6558","Cuspidaria weberbaueri","Cuspidaria","weberbaueri"
"6559","Cussonia arborea","Cussonia","arborea"
"6560","Cussonia bancoensis","Cussonia","bancoensis"
"6561","Cuviera acutiflora","Cuviera","acutiflora"
"6562","Cuviera latior","Cuviera","latior"
"6563","Cuviera longiflora","Cuviera","longiflora"
"6564","Cuviera sppGAB1","Cuviera",NA
"6565","Cyathea alata","Cyathea","alata"
"6566","Cyathea andina","Cyathea","andina"
"6567","Cyathea appendiculata","Cyathea","appendiculata"
"6568","Cyathea aquilina","Cyathea","aquilina"
"6569","Cyathea arborea","Cyathea","arborea"
"6570","Cyathea atrovirens","Cyathea","atrovirens"
"6571","Cyathea australis","Cyathea","australis"
"6572","Cyathea bipinnatifida","Cyathea","bipinnatifida"
"6573","Cyathea boliviana","Cyathea","boliviana"
"6574","Cyathea brunnescens","Cyathea","brunnescens"
"6575","Cyathea bullata","Cyathea","bullata"
"6576","Cyathea caracasana","Cyathea","caracasana"
"6577","Cyathea conjugata","Cyathea","conjugata"
"6578","Cyathea corcovadensis","Cyathea","corcovadensis"
"6579","Cyathea cuspidata","Cyathea","cuspidata"
"6580","Cyathea delgadii","Cyathea","delgadii"
"6581","Cyathea dichromatolepis","Cyathea","dichromatolepis"
"6582","Cyathea divergens","Cyathea","divergens"
"6583","Cyathea frigida","Cyathea","frigida"
"6584","Cyathea hornei","Cyathea","hornei"
"6585","Cyathea lasiosora","Cyathea","lasiosora"
"6586","Cyathea lastii","Cyathea","lastii"
"6587","Cyathea lechleri","Cyathea","lechleri"
"6588","Cyathea lunulata","Cyathea","lunulata"
"6589","Cyathea manniana","Cyathea","manniana"
"6590","Cyathea marattioides","Cyathea","marattioides"
"6591","Cyathea meridensis","Cyathea","meridensis"
"6592","Cyathea multiflora","Cyathea","multiflora"
"6593","Cyathea nigricans","Cyathea","nigricans"
"6594","Cyathea nigripes","Cyathea","nigripes"
"6595","Cyathea pallescens","Cyathea","pallescens"
"6596","Cyathea pauciflora","Cyathea","pauciflora"
"6597","Cyathea phalerata","Cyathea","phalerata"
"6598","Cyathea pilosissima","Cyathea","pilosissima"
"6599","Cyathea poeppigii","Cyathea","poeppigii"
"6600","Cyathea portoricensis","Cyathea","portoricensis"
"6601","Cyathea pungens","Cyathea","pungens"
"6602","Cyathea rebeccae","Cyathea","rebeccae"
"6603","Cyathea ruiziana","Cyathea","ruiziana"
"6604","Cyathea spinulosa","Cyathea","spinulosa"
"6605","Cyathea sppAchupall1","Cyathea",NA
"6606","Cyathea sppAltodemi1","No","suitable"
"6607","Cyathea sppAltodemi2","Cyathea",NA
"6608","Cyathea sppAltodemi3","Cyathea",NA
"6609","Cyathea sppAltodemi4","Cyathea",NA
"6610","Cyathea sppAltodemi5","Cyathea",NA
"6611","Cyathea sppAltosapa1","No","suitable"
"6612","Cyathea sppAltosapa2","Cyathea",NA
"6613","Cyathea sppAltosapa3","Cyathea",NA
"6614","Cyathea sppAltosapa4","Cyathea",NA
"6615","Cyathea sppAltosapa5","Cyathea",NA
"6616","Cyathea sppAnchicay1","Cyathea",NA
"6617","Cyathea sppAnchicay2","Cyathea",NA
"6618","Cyathea sppAnchicay3","Cyathea",NA
"6619","Cyathea sppAnchicay4","Cyathea",NA
"6620","Cyathea sppAntado1","Cyathea",NA
"6621","Cyathea sppAntado2","Cyathea",NA
"6622","Cyathea sppAntado3","Cyathea",NA
"6623","Cyathea sppAntado4","Cyathea",NA
"6624","Cyathea sppAntado5","Cyathea",NA
"6625","Cyathea sppAraracua1","Cyathea",NA
"6626","Cyathea sppCalabate1","Cyathea",NA
"6627","Cyathea sppCandamo1","Cyathea",NA
"6628","Cyathea sppCarpanta1","Cyathea",NA
"6629","Cyathea sppCarpanta2","Cyathea",NA
"6630","Cyathea sppCarpanta3","Cyathea",NA
"6631","Cyathea sppCedral1","Cyathea",NA
"6632","Cyathea sppCedral2","Cyathea",NA
"6633","Cyathea sppChirinos1","Cyathea",NA
"6634","Cyathea sppCuangos1","Cyathea",NA
"6635","Cyathea sppCuevas1","Cyathea",NA
"6636","Cyathea sppCuevas2","Cyathea",NA
"6637","Cyathea sppCuevas4","Cyathea",NA
"6638","Cyathea sppCuevas5","Cyathea",NA
"6639","Cyathea sppFPnet1","Cyathea",NA
"6640","Cyathea sppFarall1","Cyathea",NA
"6641","Cyathea sppFarall2","No","suitable"
"6642","Cyathea sppGT1","Cyathea",NA
"6643","Cyathea sppGenting1","Cyathea",NA
"6644","Cyathea sppIN1","Cyathea",NA
"6645","Cyathea sppIncahuar1","Cyathea",NA
"6646","Cyathea sppIncahuar2","Cyathea",NA
"6647","Cyathea sppLaplanad1","Cyathea",NA
"6648","Cyathea sppMaquipuc1","Cyathea",NA
"6649","Cyathea sppMaquipuc2","Cyathea",NA
"6650","Cyathea sppMariquit1","Cyathea",NA
"6651","Cyathea sppMiazi1","No","suitable"
"6652","Cyathea sppMurri1","No","suitable"
"6653","Cyathea sppMurri2","Cyathea",NA
"6654","Cyathea sppNewcaldo1","Cyathea",NA
"6655","Cyathea sppNosymang1","Cyathea",NA
"6656","Cyathea sppPacific1","Cyathea",NA
"6657","Cyathea sppPerinet1","Cyathea",NA
"6658","Cyathea sppPerinet2","Cyathea",NA
"6659","Cyathea sppPerinet3","Cyathea",NA
"6660","Cyathea sppPerinet4","Cyathea",NA
"6661","Cyathea sppPerinet5","Cyathea",NA
"6662","Cyathea sppPerinet6","Cyathea",NA
"6663","Cyathea sppPerinet7","Cyathea",NA
"6664","Cyathea sppPerinet8","Cyathea",NA
"6665","Cyathea sppRAINFOR1","Cyathea",NA
"6666","Cyathea sppRiotavar1","Cyathea",NA
"6667","Cyathea sppSietecue1","Cyathea",NA
"6668","Cyathea sppTEAM1","No","suitable"
"6669","Cyathea sppTEAM2","Cyathea",NA
"6670","Cyathea sppUS1","Cyathea",NA
"6671","Cyathea sppVE1","No","suitable"
"6672","Cyathea sppVarirata1","No","suitable"
"6673","Cyathea straminea","Cyathea","straminea"
"6674","Cyathea tenera","Cyathea","tenera"
"6675","Cyathea tortuosa","Cyathea","tortuosa"
"6676","Cyathea ulei","Cyathea","ulei"
"6677","Cyathea vittata","Cyathea","vittata"
"6678","Cyatheaceae sppNC1","Cyatheaceae",NA
"6679","Cyathocalyx cyathocayx","Cyathocalyx",NA
"6680","Cyathocalyx havilandii","Cyathocalyx","havilandii"
"6681","Cyathocalyx insularis","Cyathocalyx","insularis"
"6682","Cyathocalyx osmanthus","Cyathocalyx","osmanthus"
"6683","Cyathocalyx petiolatus","Cyathocalyx","petiolatus"
"6684","Cyathocalyx sppBaitete1","Cyathocalyx",NA
"6685","Cyathocalyx sppBakosar1","Cyathocalyx",NA
"6686","Cyathocalyx sppBakosar2","Cyathocalyx",NA
"6687","Cyathocalyx sppPacific1","Cyathocalyx",NA
"6688","Cyathocalyx sppSemengoh1","Cyathocalyx",NA
"6689","Cyathocalyx stenopetalus","Cyathocalyx","stenopetalus"
"6690","Cyathostelma sppPasoh301","Cyathostelma",NA
"6691","Cyathostemma excelsum","No","suitable"
"6692","Cyathostemma sppGenting1","No","suitable"
"6693","Cyathostemma sppPasoh401","Cyathostemma",NA
"6694","Cyathostemma sppPasoh402","Cyathostemma",NA
"6695","Cybianthus albiflorus","Cybianthus","albiflorus"
"6696","Cybianthus amplus","Cybianthus","amplus"
"6697","Cybianthus comperuvianus","Cybianthus","comperuvianus"
"6698","Cybianthus flavovirens","Cybianthus","flavovirens"
"6699","Cybianthus fulvopulverulentus","Cybianthus","fulvopulverulentus"
"6700","Cybianthus guyanensis","Cybianthus","guyanensis"
"6701","Cybianthus iteoides","Cybianthus","iteoides"
"6702","Cybianthus marginatus","Cybianthus","marginatus"
"6703","Cybianthus microbotrys","Cybianthus","microbotrys"
"6704","Cybianthus multipunctatus","Cybianthus","multipunctatus"
"6705","Cybianthus myrianthus","Cybianthus","myrianthos"
"6706","Cybianthus nemoralis","Cybianthus","nemoralis"
"6707","Cybianthus nestorii","Cybianthus","nestorii"
"6708","Cybianthus oblongifolius","Cybianthus","oblongifolius"
"6709","Cybianthus occigranatensis","Cybianthus","occigranatensis"
"6710","Cybianthus pastensis","Cybianthus","pastensis"
"6711","Cybianthus peruvianus","Cybianthus","peruvianus"
"6712","Cybianthus potiaei","Cybianthus","potiaei"
"6713","Cybianthus pseudoicacoreus","Cybianthus","pseudoicacoreus"
"6714","Cybianthus resinosus","Cybianthus","resinosus"
"6715","Cybianthus schlimii","Cybianthus","schlimii"
"6716","Cybianthus simplex","Cybianthus","simplex"
"6717","Cybianthus spichigeri","Cybianthus","spichigeri"
"6718","Cybianthus sppAnchicay1","Cybianthus",NA
"6719","Cybianthus sppAntado1","Cybianthus",NA
"6720","Cybianthus sppBOi1","Cybianthus",NA
"6721","Cybianthus sppBoraceia1","Cybianthus",NA
"6722","Cybianthus sppCalima1","Cybianthus",NA
"6723","Cybianthus sppCampano1","Cybianthus",NA
"6724","Cybianthus sppCandamo1","Cybianthus",NA
"6725","Cybianthus sppCuangos1","Cybianthus",NA
"6726","Cybianthus sppFPnet1","Cybianthus",NA
"6727","Cybianthus sppFarall1","Cybianthus",NA
"6728","Cybianthus sppFarall2","Cybianthus",NA
"6729","Cybianthus sppGentry1","Cybianthus",NA
"6730","Cybianthus sppKennedy1","Cybianthus",NA
"6731","Cybianthus sppLagenoa1","Cybianthus",NA
"6732","Cybianthus sppPE1","Cybianthus",NA
"6733","Cybianthus sppRAINFOR1","Cybianthus",NA
"6734","Cybianthus sppSCA1","Cybianthus",NA
"6735","Cybianthus sppSietecue1","Cybianthus",NA
"6736","Cybianthus sppTEAM1","Cybianthus",NA
"6737","Cybianthus sppTutunend1","Cybianthus",NA
"6738","Cybianthus sppUcumari1","Cybianthus",NA
"6739","Cybianthus timanae","No","suitable"
"6740","Cybianthus venezuelanus","Cybianthus","venezuelanus"
"6741","Cybistax antisyphilitica","Cybistax","antisyphilitica"
"6742","Cybistax donell-smithii","Cybistax","donnell-smithii"
"6743","Cycas circinalis","Cycas","circinalis"
"6744","Cyclanthera sppChirinos1","Cyclanthera",NA
"6745","Cyclobalanopsis disciformis","Cyclobalanopsis","disciformis"
"6746","Cyclobalanopsis glauca","Cyclobalanopsis","glauca"
"6747","Cyclobalanopsis gracilis","No","suitable"
"6748","Cyclobalanopsis longinux","Cyclobalanopsis","longinux"
"6749","Cyclobalanopsis myrsinaefolia","Cyclobalanopsis","myrsinifolia"
"6750","Cyclobalanopsis sppCN1","Cyclobalanopsis",NA
"6751","Cyclobalanopsis stewardiana","Cyclobalanopsis","stewardiana"
"6752","Cyclobalanus championii","Cyclobalanus",NA
"6753","Cyclocarya paliurus","Cyclocarya","paliurus"
"6754","Cyclocotyla congolensis","Cyclocotyla","congolensis"
"6755","Cyclolobium blanchetianum","Cyclolobium","blanchetianum"
"6756","Cyclolobium brasiliense","Cyclolobium","brasiliense"
"6757","Cyclophyllum barbatum","Cyclophyllum","barbatum"
"6758","Cydista aequinoctialis","Cydista","aequinoctialis"
"6759","Cydista decora","Cydista","decora"
"6760","Cydista diversifolia","Cydista","diversifolia"
"6761","Cydista heterophylla","Cydista","heterophylla"
"6762","Cydista lilacina","Cydista","lilacina"
"6763","Cylicodiscus gabunensis","Cylicodiscus","gabunensis"
"6764","Cymbopetalum baillonii","Cymbopetalum","baillonii"
"6765","Cymbopetalum costaricense","Cymbopetalum","costaricense"
"6766","Cymbopetalum penduliflorum","Cymbopetalum","penduliflorum"
"6767","Cymbopetalum sppCochacas1","Cymbopetalum",NA
"6768","Cymbopetalum sppEncanto1","Cymbopetalum",NA
"6769","Cymbopetalum sppMadidi1","Cymbopetalum",NA
"6770","Cymbopetalum sppMishnfl1","Cymbopetalum",NA
"6771","Cymbopetalum sppMishws1","Cymbopetalum",NA
"6772","Cymbopetalum sppRiomanso1","Cymbopetalum",NA
"6773","Cymbopetalum sppYanam11","Cymbopetalum",NA
"6774","Cymbopetalum sppYanam21","Cymbopetalum",NA
"6775","Cynanchum cubense","Cynanchum","cubense"
"6776","Cynometra alexandri","Cynometra","alexandri"
"6777","Cynometra ananta","Cynometra","ananta"
"6778","Cynometra bauhiniifolia","Cynometra","bauhiniifolia"
"6779","Cynometra cynomerta","Cynometra",NA
"6780","Cynometra hankei","Cynometra","hankei"
"6781","Cynometra inaequifolia","Cynometra","inaequifolia"
"6782","Cynometra insularis","Cynometra","insularis"
"6783","Cynometra leonensis","Cynometra","leonensis"
"6784","Cynometra lyallii","Cynometra","lyallii"
"6785","Cynometra malaccensis","Cynometra","malaccensis"
"6786","Cynometra martiana","Cynometra","martiana"
"6787","Cynometra megalophylla","Cynometra","megalophylla"
"6788","Cynometra oaxacana","Cynometra","oaxacana"
"6789","Cynometra ramiflora","Cynometra","ramiflora"
"6790","Cynometra retusa","Cynometra","retusa"
"6791","Cynometra sanagaensis","Cynometra","sanagaensis"
"6792","Cynometra sessiliflora","Cynometra","sessiliflora"
"6793","Cynometra sppAraracua1","Cynometra",NA
"6794","Cynometra sppRAINFOR1","Cynometra",NA
"6795","Cynometra sppTahuampa1","No","suitable"
"6796","Cynometra sppYanam21","Cynometra",NA
"6797","Cynometra spruceana","Cynometra","spruceana"
"6798","Cyphokentia cerifera","Cyphokentia","cerifera"
"6799","Cyphokentia macrostachya","Cyphokentia","macrostachya"
"6800","Cyphomandra endopogon","Cyphomandra","endopogon"
"6801","Cyphomandra hartwegii","Cyphomandra","hartwegii"
"6802","Cyphomandra sppLinhares1","Cyphomandra",NA
"6803","Cyphomandra sppTamboall1","Cyphomandra",NA
"6804","Cyphomandra stellata","Cyphomandra","stellata"
"6805","Cyphophoenix alba","Cyphophoenix","alba"
"6806","Cyphophoenix elegans","Cyphophoenix","elegans"
"6807","Cyphophoenix fulcita","Cyphophoenix","fulcita"
"6808","Cyrilla racemiflora","Cyrilla","racemiflora"
"6809","Cyrtogonone argentea","Cyrtogonone","argentea"
"6810","Cytisus scoparius","Cytisus","scoparius"
"6811","Dacrycarpus dacrydioides","Dacrycarpus","dacrydioides"
"6812","Dacrycarpus imbricatus","Dacrycarpus","imbricatus"
"6813","Dacrydium cupressinum","Dacrydium","cupressinum"
"6814","Dacrydium elatum","Dacrydium","elatum"
"6815","Dacryodes apiculata","No","suitable"
"6816","Dacryodes buettneri","Dacryodes","buettneri"
"6817","Dacryodes camerunensis","Dacryodes","camerunensis"
"6818","Dacryodes chimantensis","Dacryodes","chimantensis"
"6819","Dacryodes costata","Dacryodes","costata"
"6820","Dacryodes cupularis","Dacryodes","cupularis"
"6821","Dacryodes cuspidata","Dacryodes","cuspidata"
"6822","Dacryodes dacrtodes","Dacryodes",NA
"6823","Dacryodes dacryodea","Dacryodes",NA
"6824","Dacryodes edilsonii","Dacryodes","edilsonii"
"6825","Dacryodes edulis","Dacryodes","edulis"
"6826","Dacryodes excelsa","Dacryodes","excelsa"
"6827","Dacryodes igaganga","No","suitable"
"6828","Dacryodes incurvata","Dacryodes","incurvata"
"6829","Dacryodes kingii","Dacryodes","kingii"
"6830","Dacryodes klaineana","Dacryodes","klaineana"
"6831","Dacryodes laxa","Dacryodes","laxa"
"6832","Dacryodes longifolia","Dacryodes","longifolia"
"6833","Dacryodes macrocarpa","Dacryodes","macrocarpa"
"6834","Dacryodes macrophylla","Dacryodes","macrophylla"
"6835","Dacryodes microcarpa","Dacryodes","microcarpa"
"6836","Dacryodes nervosa","Dacryodes","nervosa"
"6837","Dacryodes nitens","Dacryodes","nitens"
"6838","Dacryodes normandii","Dacryodes","normandii"
"6839","Dacryodes oblongifolia","Dacryodes",NA
"6840","Dacryodes occidentalis","Dacryodes","occidentalis"
"6841","Dacryodes osika","Dacryodes","osika"
"6842","Dacryodes peruviana","Dacryodes","peruviana"
"6843","Dacryodes pubera","Dacryodes","puberula"
"6844","Dacryodes puberula","Dacryodes","puberula"
"6845","Dacryodes robusta","Dacryodes",NA
"6846","Dacryodes rostrat","Dacryodes","rostrata"
"6847","Dacryodes rostrata","Dacryodes","rostrata"
"6848","Dacryodes rubiginosa","Dacryodes","rubiginosa"
"6849","Dacryodes rugosa","Dacryodes","rugosa"
"6850","Dacryodes sppBanyong1","Dacryodes",NA
"6851","Dacryodes sppBerbicer1","Dacryodes",NA
"6852","Dacryodes sppCM1","Dacryodes",NA
"6853","Dacryodes sppConstanc1","Dacryodes",NA
"6854","Dacryodes sppEA1","Dacryodes",NA
"6855","Dacryodes sppFPnet1","Dacryodes",NA
"6856","Dacryodes sppGA1","Dacryodes",NA
"6857","Dacryodes sppGF1","Dacryodes",NA
"6858","Dacryodes sppMtcam1","Dacryodes",NA
"6859","Dacryodes sppNangarit1","Dacryodes",NA
"6860","Dacryodes sppPE1","No","suitable"
"6861","Dacryodes sppRAINFOR1","Dacryodes",NA
"6862","Dacryodes sppRiomanso1","Dacryodes",NA
"6863","Dacryodes sppRiomanso7","Dacryodes",NA
"6864","Dacryodes sppSCA1","Dacryodes",NA
"6865","Dacryodes sppSL1","Dacryodes",NA
"6866","Dacryodes sppSucusari1","Dacryodes",NA
"6867","Dacryodes sppTEAM1","Dacryodes",NA
"6868","Dacryodes sppTEAM2","Dacryodes",NA
"6869","Dacryodes tomentosa","Dacryodes",NA
"6870","Dacryodes yangambiensis","Dacryodes","yangambiensis"
"6871","Dactyladenia pallescens","Dactyladenia","pallescens"
"6872","Dactyladenia scabrifolia","Dactyladenia","scabrifolia"
"6873","Dactyladenia sppGA1","Dactyladenia",NA
"6874","Dactyladenia sppSL1","Dactyladenia",NA
"6875","Dactyladenia staudtii","Dactyladenia","staudtii"
"6876","Dactyladenia whytei","Dactyladenia","whytei"
"6877","Daemonorops geniculata","Daemonorops","geniculata"
"6878","Daemonorops margaritae","Daemonorops","margaritae"
"6879","Daemonorops micrantha","Daemonorops","micrantha"
"6880","Daemonorops schmidtiana","Daemonorops","schmidtiana"
"6881","Daemonorops sppGenting1","Daemonorops",NA
"6882","Daemonorops verticillaris","Daemonorops","verticillaris"
"6883","Dahlstedtia muehlbergiana","Dahlstedtia","muehlbergiana"
"6884","Dahlstedtia pentaphylla","Dahlstedtia","pentaphylla"
