"","ID_list","ID","LAT","LON","Ecoregion_WWF","Equations","DBH5","DBH6","DBH7","DBH8","DBH9","DBH10","DBH11","DBH12","DBH13","DBH14","DBH15","DBH16","DBH17","DBH18","DBH19","DBH20","DBH21","DBH22","DBH23","DBH24","DBH25","DBH30","DBH35","DBH40","DBH45","DBH50","DBH55","DBH60","DBH65","DBH70","DBH75","DBH80","DBH85","DBH90","DBH95","DBH100","DBH110","DBH120","DBH130","DBH140","DBH150","DBH160","DBH170","DBH180","DBH190","DBH200","DBH210","DBH220","DBH230","DBH240","DBH250","DBH260","DBH270","DBH280","DBH290","DBH300"
"552","ID552",38182,34.8324,-77.345,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"553","ID553",38182,35.2406,-77.1309,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"554","ID554",38182,36.1506,-76.9703,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"555","ID555",38182,30.684,-88.7733,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"556","ID556",38182,32.3166,-88.0774,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557","ID557",38182,31.8884,-87.3012,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"558","ID558",38182,31.7278,-88.0774,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"559","ID559",38182,30.684,-86.2574,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"560","ID560",38182,35.6956,-76.5957,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"561","ID561",38182,33.8957,-79.0847,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"562","ID562",38182,31.1925,-87.8633,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"563","ID563",38182,29.3726,-82.564,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564","ID564",38182,33.4942,-79.4862,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"565","ID565",38182,36.7929,-76.8365,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"566","ID566",38182,29.8276,-82.9387,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"567","ID567",38182,29.3726,-81.6808,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"568","ID568",38182,29.9882,-81.7343,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569","ID569",38182,30.3896,-81.7343,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"570","ID570",38182,31.0587,-82.1358,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"571","ID571",38182,32.2096,-81.3061,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"572","ID572",38182,31.7546,-90.7806,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"573","ID573",38182,32.7716,-80.6905,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"574","ID574",38182,32.9054,-80.1285,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"575","ID575",38182,33.2266,-81.092,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"576","ID576",38182,31.1658,-88.7465,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"577","ID577",38182,31.1658,-81.7343,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955))",7.45579579647562,11.631212279501,16.9400581435224,23.4618932529815,31.2700929373767,40.4330280635613,51.0149147914365,63.0764502338717,76.6753024652686,91.8664975560588,108.70273148702,127.234625815598,147.510940286911,169.578751859699,193.483607102268,219.26965316855,246.979751325842,276.655576108641,308.337702511432,342.065683137612,377.878116844841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"579","ID579",38188,41.312521,-101.879768,"Temperate grasslands, savannas, and shrublands","Biomass=0+0*(DBH^2)+3.06011*((DBH^2)^(1.19138))",6.97038129619635,10.7628290310705,15.5397695466921,21.36119111257,28.2819695230327,36.3528754199605,45.6212943370539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"580","ID580",38190,35.212,-83.4217,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+3.06739*((DBH^2)^(1.22338))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.630162856154,145.718441222044,167.591453892646,191.295377008801,216.874987040356,244.373773799806,273.834039187213,305.2969840569,338.802785106046,374.390663312357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581","ID581",38190,35.8022,-82.3452,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+3.06739*((DBH^2)^(1.22338))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.630162856154,145.718441222044,167.591453892646,191.295377008801,216.874987040356,244.373773799806,273.834039187213,305.2969840569,338.802785106046,374.390663312357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"582","ID582",38190,34.766,-84.1435,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+3.06739*((DBH^2)^(1.22338))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.630162856154,145.718441222044,167.591453892646,191.295377008801,216.874987040356,244.373773799806,273.834039187213,305.2969840569,338.802785106046,374.390663312357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"583","ID583",38191,38.597626,-80.454903,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH)+3.1042*((DBH)^(2.3753))",NA,10.848111882613,15.6449026489837,21.4842964696239,28.4199770772308,36.5015654583617,45.7753354618313,56.2847451975276,68.0708439962235,81.1725919465783,95.6271160212083,111.469918970789,128.735052238694,147.455260935806,167.662106754102,189.386073204833,212.656656511686,237.502444727731,263.951187085339,292.029855170294,321.764697194635,496.155268075248,715.543953806269,982.617711694067,1299.83185074318,1669.455863945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"584","ID584",38196,-3.106409,-60.02643,"Tropical and subtropical moist broadleaf forests","log Biomass=-6.697+2.012*LOG((DBH))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"585","ID585",38217,44.8831,-68.6719,"Temperate broadleaf and mixed forests","log Biomass=7.2653+0.5468*(log((DBH)))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"586","ID586",38225,-3.34,103.94,"Tropical and subtropical moist broadleaf forests","0.0267*((DBH)^2.8912)",NA,NA,7.41069116341204,10.902473299745,15.3255900636472,20.7831447011336,27.3769960114459,35.2078965865926,44.3756044324983,54.9789749113381,67.1160377341913,80.8840623365333,96.3796140516131,113.698602874009,132.936326170996,154.187506388573,177.546324572107,203.106450352747,230.961068923172,261.202905428328,293.924247120661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616","ID616",38262,-5.3,32.9667,"Tropical and subtropical grasslands, savannas, and shrublands","Biomass=0.1027*(DBH)^(2.4798)",5.55745890994338,8.73433639369956,12.8010196201816,17.8259626955957,23.8726713094004,31.0006245655813,39.2659423167655,48.721886703672,59.4192503947507,71.406664400499,84.7308470021934,99.4368084409014,115.568021638317,133.166566344939,152.273252162065,172.927724528316,195.168556796533,219.033330826412,244.55870800049,271.780492182301,300.733685839426,472.645721651493,692.708281835814,964.625659308243,1291.83437071643,1677.55303997857,2124.81851008404,2636.51298316041,3215.38502948845,3864.06624441957,4585.08471878665,5380.87611534781,6253.79290709247,7206.11217760708,8240.04227822907,9357.72856335078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"617","ID617",38262,-6.8333,31.0833,"Tropical and subtropical grasslands, savannas, and shrublands","Biomass=0.1027*(DBH)^(2.4798)",5.55745890994338,8.73433639369956,12.8010196201816,17.8259626955957,23.8726713094004,31.0006245655813,39.2659423167655,48.721886703672,59.4192503947507,71.406664400499,84.7308470021934,99.4368084409014,115.568021638317,133.166566344939,152.273252162065,172.927724528316,195.168556796533,219.033330826412,244.55870800049,271.780492182301,300.733685839426,472.645721651493,692.708281835814,964.625659308243,1291.83437071643,1677.55303997857,2124.81851008404,2636.51298316041,3215.38502948845,3864.06624441957,4585.08471878665,5380.87611534781,6253.79290709247,7206.11217760708,8240.04227822907,9357.72856335078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"618","ID618",38262,-9.7833,37.9167,"Tropical and subtropical grasslands, savannas, and shrublands","Biomass=0.1027*(DBH)^(2.4798)",5.55745890994338,8.73433639369956,12.8010196201816,17.8259626955957,23.8726713094004,31.0006245655813,39.2659423167655,48.721886703672,59.4192503947507,71.406664400499,84.7308470021934,99.4368084409014,115.568021638317,133.166566344939,152.273252162065,172.927724528316,195.168556796533,219.033330826412,244.55870800049,271.780492182301,300.733685839426,472.645721651493,692.708281835814,964.625659308243,1291.83437071643,1677.55303997857,2124.81851008404,2636.51298316041,3215.38502948845,3864.06624441957,4585.08471878665,5380.87611534781,6253.79290709247,7206.11217760708,8240.04227822907,9357.72856335078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619","ID619",38262,-4.3333,35.7833,"Tropical and subtropical grasslands, savannas, and shrublands","Biomass=0.1027*(DBH)^(2.4798)",5.55745890994338,8.73433639369956,12.8010196201816,17.8259626955957,23.8726713094004,31.0006245655813,39.2659423167655,48.721886703672,59.4192503947507,71.406664400499,84.7308470021934,99.4368084409014,115.568021638317,133.166566344939,152.273252162065,172.927724528316,195.168556796533,219.033330826412,244.55870800049,271.780492182301,300.733685839426,472.645721651493,692.708281835814,964.625659308243,1291.83437071643,1677.55303997857,2124.81851008404,2636.51298316041,3215.38502948845,3864.06624441957,4585.08471878665,5380.87611534781,6253.79290709247,7206.11217760708,8240.04227822907,9357.72856335078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"620","ID620",38263,-7.09,107.67,"Tropical and subtropical moist broadleaf forests","0.103*((DBH)^2.459)",5.39019485742315,8.43939179729397,12.3291547901871,17.1212513383908,22.8728117393341,29.6372036717774,37.4646636123574,46.4027702482544,56.496810161804,67.7900672021954,80.3240560868647,94.1387141751978,109.272561176664,125.762833811344,143.645600583929,162.955860542364,183.727628975562,205.994012339821,229.787274212818,255.138893705906,282.079617485349,441.650157917991,645.209191713012,895.989135114983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622","ID622",38327,39.6736,-79.7932,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH)+1.93378*((DBH)^(2.6209))",NA,8.34637893558667,12.5014082899143,17.7398536669546,24.1554804049833,31.8376853399613,40.872158581422,51.34138899593,63.3250612086769,76.9003745172416,92.1423039026444,109.123817031915,127.91605710682,148.588498728238,171.209082107454,195.844329664871,222.559448129889,251.418418577304,282.484076330182,315.818182276925,351.481486856943,566.798357006821,848.964291422599,1204.7044580135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"623","ID623",38328,35.212,-83.4217,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+1.94274*((DBH^2)^(1.21008))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.8103878197462,75.76674254678,87.7402485400811,100.757156973475,114.842837299417,130.021853586066,146.318030614748,163.75451155079,182.353808609126,202.137847842996,223.12800896143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
